Rank,Username,Owner,Followers(millions),Likes(billions),Description,Country
1,@khaby.lame,Khabane Lame,161.1,2.3,Social media personality,Italy Senegal
2,@charlidamelio,Charli D'Amelio,150.9,11.4,Dancer and social media personality,United States
3,@bellapoarch,Bella Poarch,92.7,2.3,Singer and social media personality,Philippines  United States
4,@addisonre,Addison Rae,88.6,5.80,Social media personality and dancer,United States
5,@mrbeast,MrBeast,84.0,0.85,Social media personality,United States
6,@zachking,Zach King,77.7,1.0,Social media personality,United States
7,@kimberly.loaiza,Kimberly Loaiza,75.6,4.7,Singer and social media personality,Mexico
8,@willsmith,Will Smith,73.3,0.51,Actor and film producer,United States
9,@tiktok,TikTok,73.3,0.30,Social media platform,China
10,@cznburak,Burak Özdemir,71.7,1.40,Social media personality,Turkey
11,@therock,The Rock,71.1,0.48,Actor and former wrestler,United States
12,@domelipa,Dominik Lipa,66.8,4.1,Social media personality,Mexico
13,@bts_official_bighit,BTS,60.4,1.1,Band,South Korea
14,@selenagomez,Selena Gomez,58.6,0.54,"Singer, songwriter, and actress",United States
15,@jasonderulo,Jason Derulo,58,1.2,"Singer, songwriter, and dancer",United States
16,@dixiedamelio,Dixie D'Amelio,57.1,3.3,Singer and social media personality,United States
17,@ox_zung,Won Jeong,55.9,1.6,Social media personality,South Korea
18,@spencerx,Spencer Polanco Knight,55.2,1.3,Beatboxer and social media personality,United States
19,@lorengray,Loren Gray,54.3,3.0,"Singer, dancer, actress, and social media personality",United States
20,@kyliejenner,Kylie Jenner,53.4,1.1,Model and socialite,United States
21,@youneszarou,Younes Zarou,52.7,1.1,Social media personality,Germany
22,@justmaiko,Michael Le,52.0,1.4,Dancer and social media personality,United States
23,@homm9k,HOMA,50.6,1.2,Social media personality,Kazakhstan
24,@bayashi.tiktok,Bayashi,50,1.5,Social media personality,Japan
25,@kallmekris,Kris Collins,49.4,2.2,Social media personality,Canada
26,@billieeilish,Billie Eilish,47.9,0.24,Singer and songwriter,United States
27,@karolg,Karol G,47.5,0.31,Singer,Colombia
28,@brentrivera,Brent Rivera,46.8,1.5,Social media personality,United States
29,@itsjojosiwa,JoJo Siwa,45.9,1.8,"Singer, dancer, and social media personality",United States
30,@riyaz.14,Riyaz Aly,45.7,2.1,Social media personality,India
31,@bp_tiktok,Blackpink,44.8,0.49,Band,South Korea
32,@carlosferiag,Carlos Feria,44.2,2.3,Social media personality,Colombia
33,@joealbanese,Joe Albanese,43.6,1.7,Social media personality,United States
34,@junya1gou,Junya Gou,43.3,0.70,Social media personality,Japan
35,@avani,Avani Gregg,43.1,3.0,Social media personality,United States
36,@elrodcontreras,Rod Contreras,42.4,2.4,Social media personality,Mexico
37,@pongamoslo_a_prueba,Pongámoslo a Prueba,42.2,1.4,Social media personality,Mexico
38,@xoteam,XO Team,41.5,1.3,Social media personality,Russia
39,@psg,Paris Saint-Germain F.C.,40.4,0.58,Football club,France
40,@anokhinalz,Liza Anokhina,39.8,1.3,Social media personality,Russia
41,@nianaguerrero,Niana Guerrero,39.3,0.80,Social media personality,Philippines
42,@gordonramsayofficial,Gordon Ramsay,38.3,0.59,"Chef, television personality",United Kingdom
43,@scottsreality,Scott Hentzepeter,38.3,0.90,Social media personality,Netherlands
44,@montpantoja,Paola Montserrat Pantoja Lizárraga,38.2,2.1,Social media personality,Mexico
45,@dobretwins,Lucas and Marcus,38.2,0.98,Social media personalities,United States
46,@ondymikula,Ondy Mikula,38.1,0.59,Social media personality,Czech Republic
47,@jamescharles,James Charles,37.9,1.1,Social media personality,United States
48,@miakhalifa,Mia Khalifa,37.4,0.59,"Media personality, former pornographic actress",Lebanon United States
49,@VirginiaFonseca,Virginia,36.9,0.96,Social media personality,United States
50,@babyariel,Baby Ariel,36.2,1.9,"Singer, actress, and social media personality",United States
