Rank,Username,Owner,Followers (millions),Description,Country
1,@ElonMusk,Elon Musk,145.0,Business magnate and owner of Twitter,United States
2,@BarackObama,Barack Obama,132.2,44th President of the United States,United States
3,@justinbieber,Justin Bieber,112.1,Musician,Canada
4,@Cristiano,Cristiano Ronaldo,108.7,Football player,Portugal
5,@rihanna,Rihanna,108.1,Musician,Barbados
6,@katyperry,Katy Perry,107.4,Musician,United States
7,@taylorswift13,Taylor Swift,93.0,Musician,United States
8,@narendramodi,Narendra Modi,89.5,Prime Minister of India,India
9,@realDonaldTrump,Donald Trump,86.7,45th President of the United States,United States
10,@ladygaga,Lady Gaga,84.1,Musician and actress,United States
11,@YouTube,YouTube,78.8,Online video sharing platform,United States
12,@EllenDeGeneres,Ellen DeGeneres,75.8,Comedian and television host,United States
13,@KimKardashian,Kim Kardashian,75.1,Television personality and businesswoman,United States
14,@NASA,NASA,73.5,Space agency,United States
15,@selenagomez,Selena Gomez,67.0,Musician and actress,United States
16,@Twitter,Twitter,65.7,Operator of platform,United States
17,@cnnbrk,CNN Breaking News,63.9,News channel,United States
18,@BillGates,Bill Gates,62.6,Businessman and philanthropist,United States
19,@neymarjr,Neymar,62.1,Football player,Brazil
20,@jtimberlake,Justin Timberlake,61.9,Musician and actor,United States
21,@CNN,CNN,61.4,News channel,United States
22,@imVkohli,Virat Kohli,55.8,Cricket player,India
23,@britneyspears,Britney Spears,55.5,Musician,United States
24,@nytimes,The New York Times,55.0,Newspaper,United States
25,@shakira,Shakira,53.9,Musician,Colombia
26,@ddlovato,Demi Lovato,53.4,Musician and actress,United States
27,@PMOIndia,PMO India,53.1,Office of the Prime Minister of India,India
28,@KingJames,LeBron James,52.8,Basketball player,United States
29,@BBCBreaking,BBC Breaking News,51.6,News channel,United Kingdom
30,@jimmyfallon,Jimmy Fallon,50.6,Comedian and television host,United States
31,@SrBachchan,Amitabh Bachchan,48.4,Actor,India
32,@ChampionsLeague,UEFA Champions League,48.4,Football league,Europe
33,@BTS_twt,BTS,48.4,Musicians,South Korea
34,@realmadrid,Real Madrid CF,47.6,Football club,Spain
35,@FCBarcelona,FC Barcelona,47.2,Football club,Spain
36,@MileyCyrus,Miley Cyrus,46.7,Musician and actress,United States
37,@espn,ESPN,46.1,Sports channel,United States
38,@akshaykumar,Akshay Kumar,45.8,Actor,India
39,@JLo,Jennifer Lopez,45.1,Musician and actress,United States
40,@BeingSalmanKhan,Salman Khan,45.1,Actor,India
41,@iamsrk,Shah Rukh Khan,43.4,Actor,India
42,@NBA,NBA,43.4,Basketball league,United States Canada
43,@bts_bighit,BTS,43.1,Musicians,South Korea
44,@BrunoMars,Bruno Mars,42.8,Musician,United States
45,@Oprah,Oprah Winfrey,42.5,Television personality,United States
46,@SportsCenter,SportsCenter,41.5,Sports channel,United States
47,@NiallOfficial,Niall Horan,40.7,Musician,Ireland
48,@premierleague,Premier League,40.5,Football league,England Wales
49,@KylieJenner,Kylie Jenner,40.3,Television personality and businesswoman,United States
50,@BBCWorld,BBC World News,39.8,News channel,United Kingdom
