Rank,Name,Link,Subscribers (millions),Primary language,Category,Country
1,T-Series,Link,245,Hindi[7][8],Music and film,India
2,MrBeast,Link,164,English,Entertainment,United States
3,Cocomelon,Link,161,English,Education,United States
4,Sony Entertainment Television India,Link,158,Hindi[9],Entertainment,India
5,Kids Diana Show,Link,112,English[10][11][12],Entertainment,Ukraine
6,PewDiePie,Link,111,English,Entertainment,Sweden
7,Like Nastya,Link,106,English,Entertainment,Russia- United States
8,Vlad and Niki,Link,98.7,English,Entertainment,Russia
9,Zee Music Company,Link,96.2,Hindi[13][14],Music,India
10,WWE,Link,95.7,English,Sports,United States
11,Blackpink,Link,89.5,Korean,Music,South Korea
12,Goldmines,Link,86.6,Hindi,Film,India
13,Sony SAB,Link,82.4,Hindi,Entertainment,India
14,5-Minute Crafts,Link,80.1,English,How-to,Cyprus[a]
15,BangtanTV,Link,75.5,Korean,Music,South Korea
16,Justin Bieber,Link,71.5,English,Music,Canada
17,Hybe Labels,Link,71,Korean,Music,South Korea
18,Zee TV,Link,70.1,Hindi,Entertainment,India
19,Pinkfong,Link,67.9,English,Education,South Korea
20,Canal KondZilla,Link,66.5,Portuguese,Music,Brazil
21,ChuChu TV,Link,65.6,Hindi[16],Education,India
22,Shemaroo Entertainment,Link,65.4,Hindi,Music,India
23,Colors TV,Link,64.1,Hindi,Entertainment,India
24,T-Series Bhakti Sagar,Link,60.6,Hindi,Music,India
25,Dude Perfect,Link,59.4,English,Sports,United States
26,Movieclips,Link,59.4,English,Film,United States
27,Tips Industries,Link,59.1,Hindi,Entertainment,India
28,El Reino Infantil,Link,58.1,Spanish,Music,Argentina
29,Wave Music,Link,57.8,Bhojpuri,Music,India
30,Aaj Tak,Link,57.5,Hindi,News,India
31,Sony Music India,Link,57.1,Hindi,Music,India
32,Eminem,Link,56.7,English,Music,United States
33,Marshmello,Link,56.4,English,Music,United States
34,Yash Raj Films,Link,54.3,Hindi,Music,India
35,LooLoo Kids,Link,53.9,English,Music,Romania
36,Ed Sheeran,Link,53.5,English,Music,United Kingdom
37,Infobells,Link,52.7,Hindi,Education,India
38,Ariana Grande,Link,52.6,English,Music,United States
39,Taylor Swift,Link,52.5,English,Music,United States
40,BillionSurpriseToys,Link,52,English,Entertainment,United States
41,JuegaGerman,Link,48,Spanish,Entertainment,Chile
42,Billie Eilish,Link,47.9,English,Music,United States
43,Shemaroo,Link,47.2,Hindi,Entertainment,India
44,Get Movies,Link,47.1,Russian,Entertainment,Russia
45,Badabun,Link,46.8,Spanish,Entertainment,Mexico
46,SonyMusicIndiaVEVO,Link,46.5,Hindi,Music,India
47,A4,Link,46.1,Russian,Entertainment,Belarus
48,Fernanfloo,Link,46,Spanish,Games,El Salvador
49,Bad Bunny,Link,46,Spanish,Music,United States ( Puerto Rico)
50,Voot Kids,Link,45.3,Hindi,Entertainment,India
